"cluster","threshold","distance","on_edge","criterion"
"north",0.975,3.88299531230105,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.59376271000122,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.672026592869,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.3387749112841,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.3408324012828,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.65962851468147,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.65787876608411,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.65612901748668,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.58285311076882,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.9967742262855,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.3106497872831,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.67331433459043,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.5756535654669,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.56048442244726,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.63868929339148,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.9033193245808,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.7817159338396,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,13.6753496933692,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.5715445993025,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.4689437992212,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,16.2906858684698,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.29389470178,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,13.2954991184351,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.2971035350902,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.2987079517454,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.3003123684005,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.30191678505561,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.69049965169418,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.63510445310733,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.4260212078385,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.31400539275946,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.70766721107318,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.63151961282316,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.70976505941784,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.78801050601251,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.86625595260718,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.9801963951117,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.4775973090553,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.2242095139032,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,13.0046512064145,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.40931701423967,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.41793333651137,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.42654965878313,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.72478712713003,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.9664063188947,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.1839298980171,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.58973057477779,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.74190704318688,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.95526533421496,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.1414096928123,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.4203008473865,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.7847459614194,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.2264160649957,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.7365960306285,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.3067685286458,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.9289989310427,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.87553896806403,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.94666087760591,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.04000638817184,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.16546584035397,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.30189573461294,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.76252421381511,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.76077558652945,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.75902695924373,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.80394919083753,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.77964412987197,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.3092822041185,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.44789133695182,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.58650046978508,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.7251096026184,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.8651859531721,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.00747657234489,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.149767191517621,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.804864752744173,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.80308797028424,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.80131118782425,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.79953440536426,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.79775762290427,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.24500264040297,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.27426880073681,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.59110480472768,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.20139753075003,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.24566187286941,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.51342262500001,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.30833262890196,FALSE,"High-evidence zone (P >= 0.975)"
